organism_id,organism_name,species_id,species_name,proteome_id,proteome_name,proteome_source
139,"Borrelia burgdorferi (Borrelia burgdorferi sensu stricto)",139,"Borrelia burgdorferi (Borrelia burgdorferi sensu stricto)",224326,"Borrelia burgdorferi B31",uniprot
140,"Borrelia hermsii",140,"Borrelia hermsii"
158,"Treponema denticola",158,"Treponema denticola",243275,"Treponema denticola ATCC 35405 (Treponema denticola str. ATCC 35405)",uniprot
160,"Treponema pallidum",160,"Treponema pallidum",243276,"Treponema pallidum subsp. pallidum str. Nichols (Treponema pallidum Nichols)",uniprot
161,"Treponema pallidum subsp. pallidum (Treponema pallidum pallidum)",160,"Treponema pallidum",243276,"Treponema pallidum subsp. pallidum str. Nichols (Treponema pallidum Nichols)",uniprot
162,"Treponema phagedenis",162,"Treponema phagedenis"
173,"Leptospira interrogans",173,"Leptospira interrogans",189518,"Leptospira interrogans serovar Lai str. 56601",uniprot
197,"Campylobacter jejuni",197,"Campylobacter jejuni",192222,"Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819 (Campylobacter jejuni subsp. jejuni ATCC 700819 = NCTC 11168)",uniprot
210,"Helicobacter pylori",210,"Helicobacter pylori",85962,"Helicobacter pylori 26695 (Helicobacter pylori (strain 26695))",uniprot
214,"Helicobacter felis",214,"Helicobacter felis",936155,"Helicobacter felis ATCC 49179 (Helicobacter felis strain ATCC 49179)",uniprot
235,"Brucella abortus (Brucella melitensis bv. Abortus)",235,"Brucella abortus (Brucella melitensis bv. Abortus)",262698,"Brucella abortus bv. 1 str. 9-941 (Brucella abortus biovar 1 str. 9-941)",uniprot
236,"Brucella ovis (Brucella melitensis bv. Ovis)",236,"Brucella ovis (Brucella melitensis bv. Ovis)",444178,"Brucella ovis ATCC 25840 (Brucella ovis strain ATCC 25840)",uniprot
266,"Paracoccus denitrificans",266,"Paracoccus denitrificans",318586,"Paracoccus denitrificans PD1222",uniprot
271,"Thermus aquaticus",271,"Thermus aquaticus"
