organism_id,organism_name,species_id,species_name,proteome_id,proteome_name,proteome_source
10243,"Cowpox virus",10243,"Cowpox virus",10243,"Cowpox virus",GenBank
10244,"Monkeypox virus",10244,"Monkeypox virus",10244,"Monkeypox virus",GenBank
10245,"Vaccinia virus",10245,"Vaccinia virus",10254,"Vaccinia virus WR",uniprot
10247,"Vaccinia virus WR 65-16",10245,"Vaccinia virus",10254,"Vaccinia virus WR",uniprot
10248,"Vaccinia virus LC16M8",10245,"Vaccinia virus",10254,"Vaccinia virus WR",uniprot
10249,"Vaccinia virus Copenhagen",10245,"Vaccinia virus",10254,"Vaccinia virus WR",uniprot
10251,"Vaccinia virus IHD-J",10245,"Vaccinia virus",10254,"Vaccinia virus WR",uniprot
10252,"Vaccinia virus Lister",10245,"Vaccinia virus",10254,"Vaccinia virus WR",uniprot
10253,"Vaccinia virus Tian Tan",10245,"Vaccinia virus",10254,"Vaccinia virus WR",uniprot
10254,"Vaccinia virus WR",10245,"Vaccinia virus",10254,"Vaccinia virus WR",uniprot
10255,"Variola virus (smallpox)",10255,"Variola virus (smallpox)",587200,"Variola virus human/India/Ind3/1967",uniprot
10261,"Fowlpox virus",10261,"Fowlpox virus",928301,"Fowlpox virus strain NVSL",uniprot
10263,"Fowlpox virus isolate HP-438/Munich",10261,"Fowlpox virus",928301,"Fowlpox virus strain NVSL",uniprot
10273,"Myxoma virus",10273,"Myxoma virus",31530,"Myxoma virus (strain Lausanne)",uniprot
10276,"Swinepox virus",10276,"Swinepox virus",300880,"Swinepox virus (strain 17077-99)",uniprot
10298,"Human herpesvirus 1 (Herpes simplex virus type 1)",10298,"Human herpesvirus 1 (Herpes simplex virus type 1)",10299,"Herpes simplex virus (type 1 / strain 17)",uniprot
10299,"Herpes simplex virus (type 1 / strain 17)",10298,"Human herpesvirus 1 (Herpes simplex virus type 1)",10299,"Herpes simplex virus (type 1 / strain 17)",uniprot
10301,"Herpes simplex virus (type 1 / strain Angelotti)",10298,"Human herpesvirus 1 (Herpes simplex virus type 1)",10299,"Herpes simplex virus (type 1 / strain 17)",uniprot
10303,"Herpes simplex virus (type 1 / strain HFEM)",10298,"Human herpesvirus 1 (Herpes simplex virus type 1)",10299,"Herpes simplex virus (type 1 / strain 17)",uniprot
10304,"Herpes simplex virus (type 1 / strain F)",10298,"Human herpesvirus 1 (Herpes simplex virus type 1)",10299,"Herpes simplex virus (type 1 / strain 17)",uniprot
10306,"Human herpesvirus 1 strain KOS",10298,"Human herpesvirus 1 (Herpes simplex virus type 1)",10299,"Herpes simplex virus (type 1 / strain 17)",uniprot
10308,"Herpes simplex virus (type 1 / strain Patton)",10298,"Human herpesvirus 1 (Herpes simplex virus type 1)",10299,"Herpes simplex virus (type 1 / strain 17)",uniprot
10309,"Herpes simplex virus (type 1 / strain SC16)",10298,"Human herpesvirus 1 (Herpes simplex virus type 1)",10299,"Herpes simplex virus (type 1 / strain 17)",uniprot
10310,"Human herpesvirus 2",10310,"Human herpesvirus 2",10315,"Human herpesvirus 2 strain HG52",uniprot
10312,"Human herpesvirus 2 strain 186",10310,"Human herpesvirus 2",10315,"Human herpesvirus 2 strain HG52",uniprot
10313,"Human herpesvirus 2 strain 333",10310,"Human herpesvirus 2",10315,"Human herpesvirus 2 strain HG52",uniprot
10314,"Human herpesvirus 2 strain G",10310,"Human herpesvirus 2",10315,"Human herpesvirus 2 strain HG52",uniprot
10315,"Human herpesvirus 2 strain HG52",10310,"Human herpesvirus 2",10315,"Human herpesvirus 2 strain HG52",uniprot
10320,"Bovine herpesvirus 1",10320,"Bovine herpesvirus 1",10320,"Bovine herpesvirus 1",GenBank
10323,"Bovine herpesvirus type 1.1 (strain Cooper)",10320,"Bovine herpesvirus 1",10320,"Bovine herpesvirus 1",GenBank
10324,"Bovine herpesvirus type 1.1 (strain P8-2)",10320,"Bovine herpesvirus 1",10320,"Bovine herpesvirus 1",GenBank
10325,"Macacine herpesvirus 1 (monkey B virus)",10325,"Macacine herpesvirus 1 (monkey B virus)",10325,"Macacine herpesvirus 1 (monkey B virus)",GenBank
10326,"Equid herpesvirus 1 (Equine herpesvirus 1)",10326,"Equid herpesvirus 1 (Equine herpesvirus 1)",31520,"Equine herpesvirus type 1 (strain AB4P)",uniprot
10329,"Equine herpesvirus type 1 (strain Kentucky A)",10326,"Equid herpesvirus 1 (Equine herpesvirus 1)",31520,"Equine herpesvirus type 1 (strain AB4P)",uniprot
10330,"Equine herpesvirus type 1 (strain Kentucky D)",10326,"Equid herpesvirus 1 (Equine herpesvirus 1)",31520,"Equine herpesvirus type 1 (strain AB4P)",uniprot
10331,"Equid herpesvirus 4 (Equine herpesvirus 4)",10331,"Equid herpesvirus 4 (Equine herpesvirus 4)",10333,"Equine herpesvirus type 4 (strain 1942)",uniprot
